SmallOperatingSystem-PT-MT0128DC0064; rf-otf-ldd-sat; 48; 8.8; 261156753
TCPcondis-PT-10; otf-ldd-sat; 32; 10.31; 13761971603
Dekker-PT-015; rf-otf-ldd-sat; 40; 0.48; 278528
BridgeAndVehicles-PT-V20P20N10-rf; ldd-sat; 1; 3.567981; 6732570
Dekker-PT-015; rf-otf-ldd-sat; 1; 1.4; 278528
TCPcondis-PT-10; otf-ldd-sat; 48; 7.88; 13761971603
Kanban-PT-0050; ldd-sat; 8; 15.113284; 10425941194901336
BridgeAndVehicles-PT-V20P20N10; ldd-sat; 8; 58.968168; 6732570
BridgeAndVehicles-PT-V20P20N20-rf; ldd-sat; 32; 126.459399; 9783606
BridgeAndVehicles-PT-V20P10N10; ldd-sat; 8; 60.956365; 6732570
SmallOperatingSystem-PT-MT0256DC0064-rf; ldd-sat; 16; 457.260957; 3372388305
QuasiCertifProtocol-PT-06; rf-otf-ldd-sat; 24; 3.29; 2271960
BridgeAndVehicles-PT-V20P20N10; otf-ldd-sat; 24; 56.28; 6732570
RwMutex-PT-r0010w0500; otf-ldd-sat; 1; 95.39; 1524
Angiogenesis-PT-10; otf-ldd-sat; 40; 2.55; 822645885495
PhilosophersDyn-PT-10; rf-otf-ldd-sat; 48; 60.0; 199051
SwimmingPool-PT-03; rf-otf-ldd-sat; 40; 16.9; 32209356
QuasiCertifProtocol-PT-06; rf-otf-ldd-sat; 32; 2.67; 2271960
RwMutex-PT-r0020w0010; otf-ldd-sat; 8; 3.76; 1048586
Dekker-PT-020; rf-otf-ldd-sat; 40; 2.91; 11534336
SwimmingPool-PT-02; rf-otf-ldd-sat; 16; 3.95; 3408031
SmallOperatingSystem-PT-MT0256DC0064; ldd-sat; 16; 460.498918; 3372388305
Solitaire-PT-EngNC7x7; ldd-sat; 24; 160.288834; 187636299
Angiogenesis-PT-10; ldd-sat; 48; 16.493687; 822645885495
LamportFastMutEx-PT-5; rf-otf-ldd-sat; 8; 31.58; 530682432
BridgeAndVehicles-PT-V20P20N20; rf-otf-ldd-sat; 1; 1200; -1
Kanban-PT-0050; ldd-sat; 32; 7.947975; 10425941194901336
Solitaire-PT-EngNC7x7; otf-ldd-sat; 16; 309.78; 187636299
Dekker-PT-020; rf-otf-ldd-sat; 16; 5.78; 11534336
BridgeAndVehicles-PT-V20P10N20; otf-ldd-sat; 8; 575.6; 9076326
Angiogenesis-PT-10-rf; ldd-sat; 1; 1200; -1
SwimmingPool-PT-07; otf-ldd-sat; 16; 105.35; 4160404431
SwimmingPool-PT-02; rf-otf-ldd-sat; 24; 2.96; 3408031
RwMutex-PT-r0010w0500; ldd-sat; 16; 7.974142; 1524
BridgeAndVehicles-PT-V20P20N20; rf-otf-ldd-sat; 48; 143.92; 9783606
Angiogenesis-PT-10; rf-otf-ldd-sat; 1; 65.07; 822645885495
RwMutex-PT-r0010w0500; rf-otf-ldd-sat; 40; 2.94; 1524
SafeBus-PT-06; otf-ldd-sat; 1; 981.82; 6816756
SwimmingPool-PT-02; ldd-sat; 48; 0.244519; 3408031
RwMutex-PT-r0020w0010; otf-ldd-sat; 48; 1.08; 1048586
BridgeAndVehicles-PT-V20P20N10; rf-otf-ldd-sat; 40; 2.54; 6732570
Kanban-PT-0050; rf-otf-ldd-sat; 16; 353.0; 0
BridgeAndVehicles-PT-V20P10N20; rf-otf-ldd-sat; 48; 64.63; 9076326
RwMutex-PT-r0010w2000-rf; ldd-sat; 24; 13.516685; 3024
