SmallOperatingSystem-PT-MT0256DC0128-rf; ldd-par; 8; 1200; -1
Kanban-PT-0010-rf; bdd-sat; 1; 0.244316; 1005927208
ResAllocation-PT-R003C020; bdd-sat; 1; 0.017537; 406454747136
SimpleLoadBal-PT-05; bdd-sat; 4; 0.233699; 116176
CSRepetitions-PT-02; ldd-par; 8; 0.018165; 7424
DES-PT-40b; otf-ldd-sat; 2; 468.23; 0
SmallOperatingSystem-PT-MT0256DC0064-rf; ldd-sat; 4; 512.422438; 3372388305
DatabaseWithMutex-PT-20; rf-otf-ldd-sat; 1; 1200; -1
DES-PT-00a; otf-ldd-sat; 2; 0.8; 24196956529
CircadianClock-PT-000100; bdd-sat; 2; 0.30378; 42040402004
CSRepetitions-PT-03; bdd-sat; 16; 0.075751; 134074721
SmallOperatingSystem-PT-MT0016DC0008-rf; ldd-chaining; 2; 0.024031; 16587
BridgeAndVehicles-PT-V20P20N10; otf-ldd-sat; 4; 104.6; 6732570
Kanban-PT-0050-rf; ldd-sat; 8; 209.699708; 10425941194901336
CSRepetitions-PT-03-rf; ldd-sat; 2; 0.221631; 134074721
ResAllocation-PT-R003C005; ldd-chaining; 8; 0.020888; 1200
Dekker-PT-010-rf; ldd-sat; 4; 0.020166; 6144
AutoFlight-PT-04a; otf-ldd-sat; 4; 0.13; 3332017
Raft-PT-02-rf; bdd-sat; 8; 0.02351; 7381
Angiogenesis-PT-05; rf-otf-ldd-sat; 1; 1.09; 42734935
TokenRing-PT-010-rf; bdd-sat; 1; 0.185824; 58905
TokenRing-PT-015; otf-ldd-sat; 2; 3.72; 35357924
Peterson-PT-4; otf-ldd-sat; 2; 156.9; 629946518
SwimmingPool-PT-01-rf; ldd-chaining; 8; 0.080521; 89621
ParamProductionCell-PT-0-rf; bdd-sat; 1; 0.074621; 2776936
Kanban-PT-0010; bdd-sat; 8; 0.042457; 1005927208
AutoFlight-PT-03a-rf; ldd-par; 4; 0.139914; 157681
ProductionCell-PT-none; otf-ldd-sat; 16; 1.77; 11329291100161
LamportFastMutEx-PT-2; rf-otf-ldd-sat; 16; 0.22; 380
MAPK-PT-020; rf-otf-ldd-sat; 16; 0.43; 88125763956
BridgeAndVehicles-PT-V80P50N10; rf-otf-ldd-sat; 4; 1200; -1
